Date,Symbol,Open,High,Low,Close,Adj Close,Volume
01-12-2020,CDR,27.549999,29.4,27.280001,28.35,28.35,86700
02-12-2020,CDR,28.440001,29.469999,28,29.16,29.16,94000
03-12-2020,CDR,28.65,29.799999,28.52,29.1,29.1,39700
04-12-2020,CDR,29.469999,31.559999,29.290001,31,31,74400
07-12-2020,CDR,29.379999,29.49,28.200001,28.35,28.35,137700
08-12-2020,CDR,26.860001,27.950001,26.559999,27.639999,27.639999,106000
09-12-2020,CDR,27.33,27.93,26.5,27.68,27.68,76300
10-12-2020,CDR,25.25,26,24.5,24.955,24.955,170400
11-12-2020,CDR,22.1,23.35,21.620001,22.879999,22.879999,510200
14-12-2020,CDR,18.65,22.129999,18.4,20.75,20.75,2219200
15-12-2020,CDR,21.18,21.190001,20.5,20.5,20.5,192600
16-12-2020,CDR,21.18,21.35,20.459999,21.200001,21.200001,108100
17-12-2020,CDR,21.290001,22.799999,21.167,21.99,21.99,190100
18-12-2020,CDR,18.299999,19.07,17.99,18.5,18.5,628500
21-12-2020,CDR,18.17,18.35,17.35,17.969999,17.969999,1572800
22-12-2020,CDR,18.940001,19.76,17.9,19.299999,19.299999,698800
23-12-2020,CDR,19.219999,19.219999,18.25,18.9,18.9,498800
24-12-2020,CDR,18.950001,19.5,18.280001,18.35,18.35,214800
28-12-2020,CDR,18.719999,19.1,18.35,18.895,18.895,238900
29-12-2020,CDR,19.190001,19.25,18.6,18.969999,18.969999,143900
30-12-2020,CDR,18.57,19.200001,18.35,18.549999,18.549999,115800
31-12-2020,CDR,18.549999,18.875,18.299999,18.309999,18.309999,165500
04-01-2021,CDR,18.33,18.889999,18.32,18.549999,18.549999,101300
05-01-2021,CDR,18.59,18.59,18,18.200001,18.200001,152900
06-01-2021,CDR,18.059999,18.52,18.059999,18.32,18.32,44500
07-01-2021,CDR,17.959999,17.959999,16.799999,17.18,17.18,218600
08-01-2021,CDR,16.99,16.99,15.91,16.280001,16.280001,188800
11-01-2021,CDR,16.51,16.65,16.290001,16.565001,16.565001,119300
12-01-2021,CDR,16.540001,16.799999,16.5,16.75,16.75,157100
13-01-2021,CDR,16.75,16.92,16.639999,16.870001,16.870001,82200
14-01-2021,CDR,18.27,18.299999,17.6,18.1,18.1,151800
15-01-2021,CDR,17.700001,17.700001,17,17.450001,17.450001,151600
19-01-2021,CDR,16.809999,17.450001,16.370001,16.780001,16.780001,243700
20-01-2021,CDR,16.455,17.059999,16.455,17.055,17.055,52900
21-01-2021,CDR,17.299999,17.33,16.969999,17.33,17.33,48500
22-01-2021,CDR,17.4,17.4,16.799999,16.959999,16.959999,61200
25-01-2021,CDR,18.190001,18.41,17.809999,18.205,18.205,143600
26-01-2021,CDR,18.459999,19.92,18.459999,19.9,19.9,151600
27-01-2021,CDR,21.51,21.92,20.76,20.9,20.9,224400
28-01-2021,CDR,23.51,24.5,22.9,23.190001,23.190001,440100
29-01-2021,CDR,21.290001,21.5,20.18,20.65,20.65,192500
01-02-2021,CDR,20.5,20.620001,20,20.450001,20.450001,102300
02-02-2021,CDR,19.129999,19.25,18.879999,19.195,19.195,156300
03-02-2021,CDR,19.190001,19.629999,19,19.459999,19.459999,35400
04-02-2021,CDR,19.35,19.530001,19.01,19.33,19.33,46100
05-02-2021,CDR,19.549999,19.719999,19.5,19.610001,19.610001,146400
08-02-2021,CDR,19.5,19.549999,19.32,19.465,19.465,311500
09-02-2021,CDR,18.219999,18.885,18.219999,18.65,18.65,305100
10-02-2021,CDR,18.969999,18.99,18.25,18.370001,18.370001,88600
11-02-2021,CDR,18.049999,18.4,18,18.08,18.08,67300
12-02-2021,CDR,17.51,18,17.41,17.9,17.9,54700
16-02-2021,CDR,18.99,18.99,17.459999,18.32,18.32,46100
17-02-2021,CDR,18.099001,18.299999,17.9,18.299999,18.299999,89000
18-02-2021,CDR,18.85,18.85,18.129999,18.450001,18.450001,221400
19-02-2021,CDR,18.43,18.43,17.9,18.200001,18.200001,67400
22-02-2021,CDR,17.790001,17.834999,17.41,17.549999,17.549999,52200
23-02-2021,CDR,17.26,18.35,16.780001,17.299999,17.299999,59400
24-02-2021,CDR,17.225,17.35,17.02,17.030001,17.030001,25900
25-02-2021,CDR,17.23,17.24,16.76,16.91,16.91,93300
26-02-2021,CDR,16.49,16.49,15.68,16.25,16.25,98500
01-03-2021,CDR,15.62,15.94,15.5,15.8,15.8,72500
02-03-2021,CDR,16.09,16.299999,15.98,16.1,16.1,39000
03-03-2021,CDR,15.62,15.62,15.03,15.165,15.165,101700
04-03-2021,CDR,15.435,15.75,15.01,15.115,15.115,70300
05-03-2021,CDR,15.13,15.4,14.78,15.05,15.05,201400
08-03-2021,CDR,14.93,15.24,14.93,14.94,14.94,34600
09-03-2021,CDR,14.63,15,14.52,14.8,14.8,43700
10-03-2021,CDR,14.18,14.18,13.61,14,14,114800
11-03-2021,CDR,14.215,15,14.215,14.725,14.725,174400
12-03-2021,CDR,15.39,15.39,14.74,14.9,14.9,37300
15-03-2021,CDR,14.95,15.38,14.9,15.38,15.38,336300
16-03-2021,CDR,15.09,15.13,14.85,15.13,15.13,126600
17-03-2021,CDR,14.62,15.36,14.54,15.205,15.205,196300
18-03-2021,CDR,14.51,15.6,14.3,14.95,14.95,149100
19-03-2021,CDR,14.37,14.715,14.29,14.35,14.35,109000
22-03-2021,CDR,14.29,14.59,14.08,14.41,14.41,50000
23-03-2021,CDR,13.82,14.97,13.79,14.38,14.38,64000
24-03-2021,CDR,14.02,14.15,13.845,14.15,14.15,64500
25-03-2021,CDR,13.42,13.58,13.215,13.58,13.58,86100
26-03-2021,CDR,13.38,13.94,13.38,13.83,13.83,56100
29-03-2021,CDR,14.7,15.37,14.7,15.34,15.34,68100
30-03-2021,CDR,14.19,14.24,13.69,13.82,13.82,111600
31-03-2021,CDR,11.71,12.39,11.64,12.38,12.38,236800
01-04-2021,CDR,12.22,12.92,12.13,12.75,12.75,59100
05-04-2021,CDR,12.92,13.17,12.92,13.035,13.035,63500
06-04-2021,CDR,12.53,13.08,12.5,12.82,12.82,64900
07-04-2021,CDR,12.49,12.662,12.37,12.37,12.37,97000
08-04-2021,CDR,12.06,12.17,11.9,12.16,12.16,82100
09-04-2021,CDR,12.11,12.46,12.03,12.2,12.2,26700
12-04-2021,CDR,12.21,12.37,12.05,12.26,12.26,26800
13-04-2021,CDR,12.19,12.39,12.145,12.39,12.39,45500
14-04-2021,CDR,12.26,12.37,12.1,12.165,12.165,48800
15-04-2021,CDR,12.24,12.55,12.2,12.45,12.45,46700
16-04-2021,CDR,11.63,11.98,11.525,11.915,11.915,176800
19-04-2021,CDR,11.9,12.08,11.7,11.85,11.85,53900
20-04-2021,CDR,11.49,11.75,11.395,11.68,11.68,64100
21-04-2021,CDR,11.38,11.79,11.3,11.51,11.51,85600
22-04-2021,CDR,11.39,12,11.38,11.81,11.81,76000
23-04-2021,CDR,11.12,11.59,11.04,11.45,11.45,140400
26-04-2021,CDR,10.97,11.4,10.97,11.195,11.195,137600
27-04-2021,CDR,11.29,11.34,11.04,11.26,11.26,116700
28-04-2021,CDR,11.3,11.49,11.3,11.445,11.445,31700
29-04-2021,CDR,11.57,11.75,11.5,11.75,11.75,70100
30-04-2021,CDR,11.73,11.78,11.51,11.54,11.54,19900
03-05-2021,CDR,11.6,11.75,11.6,11.7,11.7,30100
04-05-2021,CDR,11.12,11.16,11,11.055,11.055,65600
05-05-2021,CDR,10.68,10.68,10.47,10.47,10.47,108100
06-05-2021,CDR,10.32,10.37,10.13,10.21,10.21,77100
07-05-2021,CDR,10.52,10.8,10.43,10.8,10.8,57100
10-05-2021,CDR,10.58,10.58,10.25,10.345,10.345,162900
11-05-2021,CDR,10.15,10.43,10.11,10.38,10.38,147200
12-05-2021,CDR,10.68,10.9,10.49,10.626,10.626,45400
13-05-2021,CDR,10.33,10.61,10.3,10.45,10.45,37600
14-05-2021,CDR,10.93,11.05,10.832,11.005,11.005,37900
17-05-2021,CDR,11.46,11.61,11.35,11.51,11.51,43500
18-05-2021,CDR,11.4,11.63,11.31,11.48,11.48,52100
19-05-2021,CDR,11.43,11.53,11.26,11.5,11.5,46200
20-05-2021,CDR,11.74,12,11.74,11.99,11.99,44700
21-05-2021,CDR,11.9,11.9,11.67,11.83,11.83,15700
